"site","plot","stab.com","stab.pop","asyn","SAE","CPE.env","CPE.int","richness","shannon","inv.simpson","evenness","CPE.env.LB","CPE.env.UB","CPE.int.LB","CPE.int.UB"
"SGS","SGS_UNUN_11_14",1.8960385090421,0.803267832528442,2.36040637040568,2.24195990396027,1.03794730571836,1.02625846886892,3.28571428571429,1.53292944865805,3.75374812266152,0.737183237870541,0.856444819019333,1.25338015021506,0.840011386076966,1.22942216248646
"SGS","SGS_UNUN_11_15",1.33259135887891,0.640315379869192,2.08114844774014,2.0946651855039,0.999529437269617,1.00478057588608,3.14285714285714,1.54487350171808,3.45894212673746,0.602301755870532,0.847379791915296,1.22013381362319,0.814326874773229,1.17249895527466
"SGS","SGS_UNUN_11_16",1.28605800096936,0.588022166867767,2.18709102042842,2.08683805231789,0.979513331630809,1.08464755529156,2.71428571428571,1.48121616745889,3.47812069950253,0.674130529367474,0.777786777927352,1.19269859367068,0.878757445528297,1.34834089222549
"SGS","SGS_UNUN_11_17",1.66660127748021,0.715548606885617,2.32912378200831,2.19002641426853,0.949749729150656,1.13176069385342,3.42857142857143,1.52873752191478,3.65765960219106,0.615209236147847,0.792084830660677,1.17476440618465,0.905462336789381,1.3427974859064
"SGS","SGS_UNUN_11_18",1.49780449126429,0.647886814206422,2.31183049017429,2.28103425904197,0.971339162302143,1.05481520891338,2.92857142857143,1.53469672132173,3.17933278369503,0.640018243803751,0.820445912397508,1.19385157291178,0.848936363115379,1.23531791662766
"SGS","SGS_UNUN_11_19",1.86741985630537,0.709266773054656,2.63288783184189,2.2624352396538,0.979732402763347,1.19923515149427,3.64285714285714,1.6911685427249,3.758182868521,0.705272061674025,0.805066695251338,1.15019201227725,1.01179743963005,1.44557290564963
"SGS","SGS_UNUN_11_20",1.19806623689397,0.568861157703266,2.10607847041459,1.95410294657489,1.00262938587929,1.08545066433671,2.5,1.51460845638438,3.53881727787128,0.72837270297141,0.833757013504077,1.19612680580547,0.901085436184673,1.29267067596846
"SGS","SGS_UNUN_11_4",1.96697754697645,0.741535122185669,2.6525750273012,2.25910290847906,1.04824142617313,1.13284750603434,3.07142857142857,1.58610976376723,3.78887330372664,0.688838718096978,0.889069914905861,1.31339996880358,0.894019521042248,1.32067436869383
"SGS","SGS_UNUN_11_5",1.28251483680905,0.680278745028446,1.8852784188567,2.00650914157966,0.982032031118689,0.962673123597246,3.21428571428571,1.5099288098638,3.43644243751181,0.687198216076002,0.853562542733266,1.14439041641103,0.82111267880848,1.10077771835959
"SGS","SGS_UNUN_11_7",1.54102768619744,0.676922064789692,2.27652157664001,2.04762854795404,1.02639759741628,1.0981362329045,2.78571428571429,1.42071376594727,3.30010649058819,0.683218901551603,0.832464787992743,1.27659579359717,0.870904036634564,1.33558612148751
"SGS","SGS_UNUN_11_8",2.189686814609,0.668417296843162,3.27592781478064,2.40221340796505,1.06760489679319,1.30085175892411,2.85714285714286,1.61139109375661,4.21943427467862,0.774915313298436,0.847891778842025,1.46272808568913,0.933158212435834,1.60841450613009
"SGS","SGS_UNUN_11_9",1.32865619038999,0.603429516583442,2.20184156372183,2.22486122491977,0.969673271191642,1.03240298315696,3.28571428571429,1.627009897011,3.89765038750154,0.634324374583836,0.826943626859639,1.19508137307524,0.828204814569256,1.19676276409206
"SGS","SGS_UNUN_19_1",2.34587338425188,0.744318634992687,3.15170583398725,2.36181634325396,0.987402510343688,1.36326932626168,2.71428571428571,1.49546530739486,3.04651942344221,0.649472330879339,0.836823558585891,1.17795358075819,1.1328486835453,1.59467354648224
